Date,Rate
2012-01-01,770
2012-02-01,770
2012-03-01,2180
2012-03-01,850
2012-04-01,910
2012-04-01,2000
2012-05-01,2000
2012-05-01,840
2012-06-01,860
2012-06-01,2000
2012-07-01,1650
2012-07-01,840
2012-08-01,2200
2012-08-01,830
2012-09-01,790
2012-09-01,1650
2012-10-01,830
2012-10-01,1750
2012-11-01,1700
2012-11-01,820
2012-12-01,1760
2012-12-01,840
2013-01-01,1700
2013-01-01,820
2013-02-01,790
2013-02-01,1700
2013-03-01,1380
2013-03-01,940
2013-04-01,1380
2013-04-01,940
2013-05-01,1850
2013-05-01,940
2013-06-01,1810
2013-06-01,960
2013-07-01,960
2013-07-01,1810
2013-08-01,1890
2013-08-01,1000
2013-09-01,1770
2013-09-01,960
2013-10-01,1890
2013-10-01,950
2013-11-01,840
2013-11-01,1890
2013-12-01,1890
2013-12-01,860
2014-01-01,1650
2014-01-01,900
2014-02-01,1900
2014-02-01,940
2014-03-01,900
2014-03-01,1650
2014-04-01,1650
2014-04-01,900
2014-05-01,1650
2014-05-01,870
2014-06-01,1650
2014-06-01,870
2014-07-01,860
2014-07-01,1700
2014-08-01,1700
2014-08-01,860
2014-09-01,1700
2014-09-01,820
2014-10-01,1700
2014-10-01,820
2014-11-01,840
2014-11-01,1700
2014-12-01,880
2014-12-01,1700
2015-01-01,1700
2015-01-01,890
2015-03-01,1750
2015-03-01,840
2015-04-01,1750
2015-04-01,840
2015-05-01,850
2015-05-01,1750
2015-06-01,860
2015-06-01,1750
2015-07-01,1950
2015-07-01,850
2015-08-01,1740
2015-08-01,820
2015-09-01,1740
2015-09-01,770
2015-10-01,780
2015-10-01,1740
2015-11-01,1740
2015-11-01,770
2015-12-01,1740
2015-12-01,780
2016-01-01,1510
2016-01-01,720
2016-02-01,720
2016-02-01,1700
2016-03-01,730
2016-03-01,1460
2016-04-01,1840
2016-04-01,730
2016-05-01,1460
2016-05-01,730
2016-06-01,1840
2016-06-01,720
2016-07-01,730
2016-07-01,1590
2016-08-01,710
2016-09-01,1610
2016-09-01,710
2016-10-01,1880
2016-10-01,700
2016-11-01,1760
2016-11-01,720
2016-12-01,710
2017-01-01,1730
2017-01-01,760
2017-02-01,750
2017-03-01,1630
2017-03-01,780
2017-04-01,780
2017-05-01,1940
2017-05-01,780
2017-06-01,760
2017-07-01,1720
2017-07-01,740
2017-08-01,750
2017-09-01,1820
2017-09-01,750
2017-10-01,750
2017-11-01,770
2017-11-01,1700
2017-12-01,770
2018-01-01,1790
2018-01-01,770
2018-02-01,770
2018-03-01,1590
2018-03-01,740
2018-04-01,740
2018-05-01,1560
2018-05-01,800
2018-06-01,830
2018-07-01,1330
2018-07-01,840
2018-08-01,750
2018-09-01,760
2018-09-01,1650
2018-10-01,820
2018-11-01,1590
2018-11-01,820
2018-12-01,820
2019-01-01,1560
2019-01-01,840
2019-02-01,810
2019-03-01,1320
2019-03-01,790
2019-04-01,1870
2019-04-01,800
2019-05-01,790
2019-05-01,1390
2019-06-01,1980
2019-06-01,800
2019-07-01,1580
2019-07-01,790
2019-08-01,1560
2019-08-01,780
2019-09-01,810
2019-09-01,1650
2019-10-01,770
2019-11-01,1650
2019-11-01,780
2019-12-01,820
2020-01-01,1770
2020-01-01,840
2020-02-01,830
2020-03-01,800
2020-03-01,1730
2020-04-01,2030
2020-04-01,830
2020-05-01,1750
2020-05-01,840
2020-06-01,2220
2020-06-01,820
2020-07-01,750
2020-07-01,1770
2020-08-01,820
2020-09-01,1810
2020-09-01,840
2020-10-01,840
2020-11-01,1790
2020-11-01,850
2020-12-01,860
2021-01-01,930
2021-01-01,1830
2021-02-01,2080
2021-02-01,880
2021-03-01,800
2021-03-01,1870
2021-04-01,1540
2021-05-01,2060
2021-05-01,1350
2021-06-01,1520
2021-07-01,1610
2021-07-01,2180
2021-08-01,1630
2021-09-01,2000
2021-09-01,1710
2021-10-01,1710
2021-11-01,2230
2021-11-01,1540
2021-12-01,1630
2022-01-01,1530
2022-01-01,2410
2022-02-01,1670
2022-03-01,2570
2022-03-01,1520
2022-04-01,1550
2022-05-01,2460
2022-05-01,1560
2022-06-01,1570
2022-07-01,1640
2022-07-01,2670
2022-08-01,1620
2022-09-01,2720
2022-09-01,1330
2022-10-01,1220
2022-11-01,2300
2022-11-01,1200
2022-12-01,1260
2023-01-01,1220
2023-01-01,1920
2023-02-01,1230
2023-03-01,1670
2023-03-01,1200
2023-04-01,1240
2023-05-01,1200
2023-05-01,1510
2023-06-01,1080
2023-06-01,1500
2023-07-01,1450
2023-07-01,930
2023-08-01,921
2023-08-01,1409
2023-09-01,1372
2023-09-01,884
2023-10-01,830
2023-10-01,1351
2023-11-01,1297
2023-11-01,914
2023-12-01,1281
2023-12-01,886
2024-01-01,1281
2024-01-01,840
2024-02-01,832
2024-02-01,1243
2024-03-01,1268
2024-03-01,765
2024-04-01,1263
2024-04-01,737
2024-05-01,1282
2024-05-01,647
2024-06-01,672
2024-06-01,1279
2024-07-01,1226
2024-07-01,736
2024-08-01,1298
2024-08-01,741
2024-09-01,1224
2024-09-01,749
2024-10-01,812
2024-10-01,1154
2024-11-01,1180
2024-11-01,773
2024-12-01,741
2024-12-01,1165
2025-01-01,1238
2025-01-01,826
2025-02-01,782
2025-02-01,1175
2025-03-01,785
2025-03-01,1173
2025-04-01,1164
2025-04-01,789
