Date,log_rate,Month_Sin,Month_Cos,Origin_U.S. West Coast (Los Angeles)
2012-01-01,6.3818160174060985,0.75,0.9330127018922194,1.0
2012-02-01,6.3818160174060985,0.9330127018922193,0.75,1.0
2012-03-01,7.473637108496206,1.0,0.5,0.0
2012-03-01,6.523562306149512,1.0,0.5,1.0
2012-04-01,6.608000625296087,0.9330127018922194,0.2500000000000001,1.0
2012-04-01,7.438971592395862,0.9330127018922194,0.2500000000000001,0.0
2012-05-01,7.409136443920128,0.75,0.06698729810778065,0.0
2012-05-01,6.523562306149512,0.75,0.06698729810778065,1.0
2012-06-01,6.55250788703459,0.5000000000000001,0.0,1.0
2012-06-01,7.438971592395862,0.5000000000000001,0.0,0.0
2012-07-01,7.313886831633462,0.2500000000000001,0.06698729810778059,0.0
2012-07-01,6.508769136971682,0.2500000000000001,0.06698729810778059,1.0
2012-08-01,7.467942332285852,0.06698729810778081,0.24999999999999978,0.0
2012-08-01,6.478509642208569,0.06698729810778081,0.24999999999999978,1.0
2012-09-01,7.313886831633462,0.0,0.4999999999999999,0.0
2012-09-01,6.431331081933479,0.0,0.4999999999999999,1.0
2012-10-01,6.478509642208569,0.0669872981077807,0.75,1.0
2012-10-01,7.313886831633462,0.0669872981077807,0.75,0.0
2012-11-01,7.280008252884188,0.24999999999999978,0.9330127018922192,0.0
2012-11-01,6.493753839851687,0.24999999999999978,0.9330127018922192,1.0
2012-12-01,7.2520539518528135,0.4999999999999999,1.0,0.0
2012-12-01,6.523562306149512,0.4999999999999999,1.0,1.0
2013-01-01,7.208600337960199,0.75,0.9330127018922194,0.0
2013-01-01,6.493753839851687,0.75,0.9330127018922194,1.0
2013-02-01,6.46302945692067,0.9330127018922193,0.75,1.0
2013-02-01,7.208600337960199,0.9330127018922193,0.75,0.0
2013-03-01,7.039660349862076,1.0,0.5,0.0
2013-03-01,6.634633357861686,1.0,0.5,1.0
2013-04-01,6.634633357861686,0.9330127018922194,0.2500000000000001,1.0
2013-04-01,7.039660349862076,0.9330127018922194,0.2500000000000001,0.0
2013-05-01,7.313886831633462,0.75,0.06698729810778065,0.0
2013-05-01,6.621405651764134,0.75,0.06698729810778065,1.0
2013-06-01,6.647688373563329,0.5000000000000001,0.0,1.0
2013-06-01,7.307202314764738,0.5000000000000001,0.0,0.0
2013-07-01,6.647688373563329,0.2500000000000001,0.06698729810778059,1.0
2013-07-01,7.307202314764738,0.2500000000000001,0.06698729810778059,0.0
2013-08-01,7.353081920515432,0.06698729810778081,0.24999999999999978,0.0
2013-08-01,6.68586094706836,0.06698729810778081,0.24999999999999978,1.0
2013-09-01,7.280008252884188,0.0,0.4999999999999999,0.0
2013-09-01,6.634633357861686,0.0,0.4999999999999999,1.0
2013-10-01,7.353081920515432,0.0669872981077807,0.75,0.0
2013-10-01,6.634633357861686,0.0669872981077807,0.75,1.0
2013-11-01,6.493753839851687,0.24999999999999978,0.9330127018922192,1.0
2013-11-01,7.353081920515432,0.24999999999999978,0.9330127018922192,0.0
2013-12-01,7.353081920515432,0.4999999999999999,1.0,0.0
2013-12-01,6.523562306149512,0.4999999999999999,1.0,1.0
2014-01-01,7.193685818395112,0.75,0.9330127018922194,0.0
2014-01-01,6.53813982376767,0.75,0.9330127018922194,1.0
2014-02-01,7.32052696227274,0.9330127018922193,0.75,0.0
2014-02-01,6.580639137284949,0.9330127018922193,0.75,1.0
2014-03-01,6.493753839851687,1.0,0.5,1.0
2014-03-01,7.193685818395112,1.0,0.5,0.0
2014-04-01,7.193685818395112,0.9330127018922194,0.2500000000000001,0.0
2014-04-01,6.478509642208569,0.9330127018922194,0.2500000000000001,1.0
2014-05-01,7.193685818395112,0.75,0.06698729810778065,0.0
2014-05-01,6.447305862541213,0.75,0.06698729810778065,1.0
2014-06-01,7.193685818395112,0.5000000000000001,0.0,0.0
2014-06-01,6.46302945692067,0.5000000000000001,0.0,1.0
2014-07-01,6.447305862541213,0.2500000000000001,0.06698729810778059,1.0
2014-07-01,7.215975002651466,0.2500000000000001,0.06698729810778059,0.0
2014-08-01,7.215975002651466,0.06698729810778081,0.24999999999999978,0.0
2014-08-01,6.478509642208569,0.06698729810778081,0.24999999999999978,1.0
2014-09-01,7.215975002651466,0.0,0.4999999999999999,0.0
2014-09-01,6.478509642208569,0.0,0.4999999999999999,1.0
2014-10-01,7.215975002651466,0.0669872981077807,0.75,0.0
2014-10-01,6.493753839851687,0.0669872981077807,0.75,1.0
2014-11-01,6.493753839851687,0.24999999999999978,0.9330127018922192,1.0
2014-11-01,7.215975002651466,0.24999999999999978,0.9330127018922192,0.0
2014-12-01,6.55250788703459,0.4999999999999999,1.0,1.0
2014-12-01,7.215975002651466,0.4999999999999999,1.0,0.0
2015-01-01,7.215975002651466,0.75,0.9330127018922194,0.0
2015-01-01,6.523562306149512,0.75,0.9330127018922194,1.0
2015-03-01,7.237778191923443,1.0,0.5,0.0
2015-03-01,6.508769136971682,1.0,0.5,1.0
2015-04-01,7.237778191923443,0.9330127018922194,0.2500000000000001,0.0
2015-04-01,6.508769136971682,0.9330127018922194,0.2500000000000001,1.0
2015-05-01,6.478509642208569,0.75,0.06698729810778065,1.0
2015-05-01,7.237778191923443,0.75,0.06698729810778065,0.0
2015-06-01,6.508769136971682,0.5000000000000001,0.0,1.0
2015-06-01,7.237778191923443,0.5000000000000001,0.0,0.0
2015-07-01,7.403061091090091,0.2500000000000001,0.06698729810778059,0.0
2015-07-01,6.508769136971682,0.2500000000000001,0.06698729810778059,1.0
