Year,Year_Num,Month_num,Month_Sin,Month_Cos,log_rate,Origin_U.S. West Coast (Los Angeles)
2012,2012,1,0.49999999999999994,0.8660254037844387,6.647688373563329,True
2012,2012,2,0.8660254037844386,0.5000000000000001,6.647688373563329,True
2012,2012,3,1.0,6.123233995736766e-17,7.687538766201629,False
2012,2012,3,1.0,6.123233995736766e-17,6.7464121285733745,True
2012,2012,4,0.8660254037844387,-0.4999999999999998,6.814542897259958,True
2012,2012,4,0.8660254037844387,-0.4999999999999998,7.601402334583733,False
2012,2012,5,0.49999999999999994,-0.8660254037844387,7.601402334583733,False
2012,2012,5,0.49999999999999994,-0.8660254037844387,6.734591659972948,True
2012,2012,6,1.2246467991473532e-16,-1.0,6.7580945044277305,True
2012,2012,6,1.2246467991473532e-16,-1.0,7.601402334583733,False
2012,2012,7,-0.4999999999999997,-0.8660254037844388,7.409136443920128,False
2012,2012,7,-0.4999999999999997,-0.8660254037844388,6.734591659972948,True
2012,2012,8,-0.8660254037844384,-0.5000000000000004,7.696667081526462,False
2012,2012,8,-0.8660254037844384,-0.5000000000000004,6.7226297948554485,True
2012,2012,9,-1.0,-1.8369701987210297e-16,6.673297967767654,True
2012,2012,9,-1.0,-1.8369701987210297e-16,7.409136443920128,False
2012,2012,10,-0.8660254037844386,0.5000000000000001,6.7226297948554485,True
2012,2012,10,-0.8660254037844386,0.5000000000000001,7.467942332285852,False
2012,2012,11,-0.5000000000000004,0.8660254037844384,7.438971592395862,False
2012,2012,11,-0.5000000000000004,0.8660254037844384,6.710523109452428,True
2012,2012,12,-2.4492935982947064e-16,1.0,7.473637108496206,False
2012,2012,12,-2.4492935982947064e-16,1.0,6.734591659972948,True
2013,2013,1,0.49999999999999994,0.8660254037844387,7.438971592395862,False
2013,2013,1,0.49999999999999994,0.8660254037844387,6.710523109452428,True
2013,2013,2,0.8660254037844386,0.5000000000000001,6.673297967767654,True
2013,2013,2,0.8660254037844386,0.5000000000000001,7.438971592395862,False
2013,2013,3,1.0,6.123233995736766e-17,7.2305631534092925,False
2013,2013,3,1.0,6.123233995736766e-17,6.846943139585379,True
2013,2013,4,0.8660254037844387,-0.4999999999999998,7.2305631534092925,False
2013,2013,4,0.8660254037844387,-0.4999999999999998,6.846943139585379,True
2013,2013,5,0.49999999999999994,-0.8660254037844387,7.523481312573497,False
2013,2013,5,0.49999999999999994,-0.8660254037844387,6.846943139585379,True
2013,2013,6,1.2246467991473532e-16,-1.0,7.501634457883413,False
2013,2013,6,1.2246467991473532e-16,-1.0,6.8679744089702925,True
